what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,org.eclipse.jst.common.project.facet.core,1380104545951
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,org.eclipse.jst.ws.jaxrs.core,1380104545967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,,1380104548793
started,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,org.eclipse.m2e.core,1380104555586
started,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,org.eclipse.m2e.core.ui,1380104555602
started,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,org.eclipse.m2e.jdt,1380104573935
started,bundle,org.maven.ide.eclipse.wtp,0.15.3.20120830-0850,org.maven.ide.eclipse.wtp,1380104573981
started,bundle,org.jboss.tools.maven.apt.core,1.0.1.201209200721,org.jboss.tools.maven.apt.core,1380104573997
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,org.eclipse.equinox.p2.transport.ecf,1380104574325
started,bundle,org.eclipse.equinox.p2.discovery.compatibility,1.0.1.v20110502-1955,org.eclipse.equinox.p2.discovery.compatibility,1380104574325
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,org.eclipse.ecf.filetransfer,1380104574387
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,org.eclipse.ecf,1380104574434
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,org.eclipse.ecf.identity,1380104574434
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,org.eclipse.ecf.provider.filetransfer.httpclient,1380104574528
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,org.eclipse.ecf.provider.filetransfer,1380104574528
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,org.eclipse.equinox.p2.ui,1380104590534
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,org.eclipse.equinox.p2.ui.sdk,1380104590565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,,1380104601340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,org.eclipse.ui.file.import,1380104601356
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,org.eclipse.core.filesystem,1380104601356
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,org.eclipse.m2e.editor.xml,1380104602090
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,org.eclipse.wst.sse.core,1380104602152
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,org.eclipse.jpt.common.core,1380104602402
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,org.eclipse.jpt.jpa.core,1380104602433
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,org.eclipse.wst.xml.core,1380104602558
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,org.eclipse.wst.common.uriresolver,1380104602745
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,org.eclipse.jgit,1380104603729
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,org.eclipse.egit.core,1380104603760
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,org.eclipse.egit.ui,1380104603838
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,org.eclipse.jdt.ui.PackageExplorer,1380104604619
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,org.eclipse.ui.internal.introview,1380104604666
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,org.eclipse.emf.common,1380104604963
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,org.eclipse.emf.ecore,1380104605056
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,org.eclipse.wst.common.emf,1380104605088
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,org.eclipse.jem.util,1380104605119
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,org.eclipse.emf.ecore.xmi,1380104605135
